Event ID   , Event time          , Desc ID   ,                                             Description, Object ID , Details
117        , 400120898.639562    , 80        ,                              User is moving a variable., 3         , (721;211)
118        , 400120898.655564    , 80        ,                              User is moving a variable., 3         , (723;208)
119        , 400120898.672033    , 80        ,                              User is moving a variable., 3         , (723;207)
120        , 400120898.719839    , 81        ,                         User stopped moving a variable., 3         , (725;205)
121        , 400120899.890113    , 68        ,      User selected a new option for adding new objects., 0         , Causal Link option selected
122        , 400120900.481576    , 79        ,                           User began moving a variable., 3         , (726;199)
123        , 400120900.732143    , 75        ,              User has begun creating a new causal link., 0         , (726;199)
124        , 400120900.895172    , 76        ,       The causal link is in the process of being added., 0         , (725;198)
125        , 400120900.895643    , 76        ,       The causal link is in the process of being added., 0         , (725;198)
126        , 400120900.975425    , 76        ,       The causal link is in the process of being added., 0         , (724;197)
127        , 400120900.991185    , 76        ,       The causal link is in the process of being added., 0         , (723;197)
128        , 400120901.007043    , 76        ,       The causal link is in the process of being added., 0         , (718;195)
129        , 400120901.023476    , 76        ,       The causal link is in the process of being added., 0         , (704;191)
130        , 400120901.039159    , 76        ,       The causal link is in the process of being added., 0         , (680;184)
131        , 400120901.055036    , 76        ,       The causal link is in the process of being added., 0         , (656;177)
132        , 400120901.071446    , 76        ,       The causal link is in the process of being added., 0         , (628;168)
133        , 400120901.087046    , 76        ,       The causal link is in the process of being added., 0         , (600;161)
134        , 400120901.103046    , 76        ,       The causal link is in the process of being added., 0         , (572;154)
135        , 400120901.118977    , 76        ,       The causal link is in the process of being added., 0         , (545;148)
136        , 400120901.135594    , 76        ,       The causal link is in the process of being added., 0         , (520;146)
137        , 400120901.151931    , 76        ,       The causal link is in the process of being added., 0         , (500;146)
138        , 400120901.168346    , 76        ,       The causal link is in the process of being added., 0         , (482;147)
139        , 400120901.183525    , 76        ,       The causal link is in the process of being added., 0         , (466;153)
140        , 400120901.199237    , 76        ,       The causal link is in the process of being added., 0         , (452;159)
141        , 400120901.215842    , 76        ,       The causal link is in the process of being added., 0         , (440;168)
142        , 400120901.23099     , 76        ,       The causal link is in the process of being added., 0         , (432;173)
143        , 400120901.246883    , 76        ,       The causal link is in the process of being added., 0         , (427;179)
144        , 400120901.263456    , 76        ,       The causal link is in the process of being added., 0         , (424;183)
145        , 400120901.278913    , 76        ,       The causal link is in the process of being added., 0         , (423;187)
146        , 400120901.29494     , 76        ,       The causal link is in the process of being added., 0         , (422;191)
147        , 400120901.311366    , 76        ,       The causal link is in the process of being added., 0         , (422;194)
148        , 400120901.32689     , 76        ,       The causal link is in the process of being added., 0         , (422;196)
149        , 400120901.342959    , 76        ,       The causal link is in the process of being added., 0         , (422;197)
150        , 400120901.359578    , 76        ,       The causal link is in the process of being added., 0         , (421;199)
151        , 400120901.37496     , 76        ,       The causal link is in the process of being added., 0         , (419;202)
152        , 400120901.390907    , 76        ,       The causal link is in the process of being added., 0         , (418;205)
153        , 400120901.407371    , 76        ,       The causal link is in the process of being added., 0         , (417;207)
154        , 400120901.423367    , 76        ,       The causal link is in the process of being added., 0         , (416;208)
155        , 400120901.439091    , 76        ,       The causal link is in the process of being added., 0         , (415;210)
156        , 400120901.45562     , 76        ,       The causal link is in the process of being added., 0         , (414;211)
157        , 400120901.470627    , 76        ,       The causal link is in the process of being added., 0         , (414;212)
158        , 400120901.502988    , 76        ,       The causal link is in the process of being added., 0         , (414;213)
159        , 400120901.51912     , 76        ,       The causal link is in the process of being added., 0         , (414;214)
160        , 400120901.566744    , 76        ,       The causal link is in the process of being added., 0         , (414;215)
161        , 400120902.126831    , 76        ,       The causal link is in the process of being added., 0         , (415;215)
162        , 400120902.17624     , 77        ,                                      Causal link added., 6         , Parent: Var2 (3) Child: Var1 (2) | 
163        , 400120902.625176    , 15        ,                        User began moving a causal link., 6         , (571;218)
164        , 400120902.73473     , 16        ,                           User is moving a causal link., 6         , (570;213)
165        , 400120902.751694    , 16        ,                           User is moving a causal link., 6         , (570;208)
166        , 400120902.767068    , 16        ,                           User is moving a causal link., 6         , (569;203)
167        , 400120902.784012    , 16        ,                           User is moving a causal link., 6         , (569;199)
168        , 400120902.799326    , 16        ,                           User is moving a causal link., 6         , (569;194)
169        , 400120902.814443    , 16        ,                           User is moving a causal link., 6         , (568;189)
170        , 400120902.830448    , 16        ,                           User is moving a causal link., 6         , (568;184)
171        , 400120902.846943    , 16        ,                           User is moving a causal link., 6         , (568;180)
172        , 400120902.862527    , 16        ,                           User is moving a causal link., 6         , (567;175)
173        , 400120902.878488    , 16        ,                           User is moving a causal link., 6         , (567;170)
174        , 400120902.894924    , 16        ,                           User is moving a causal link., 6         , (567;165)
175        , 400120902.910477    , 16        ,                           User is moving a causal link., 6         , (566;161)
176        , 400120902.926499    , 16        ,                           User is moving a causal link., 6         , (566;156)
177        , 400120902.942928    , 16        ,                           User is moving a causal link., 6         , (566;151)
178        , 400120902.95859     , 16        ,                           User is moving a causal link., 6         , (565;146)
179        , 400120902.97457     , 16        ,                           User is moving a causal link., 6         , (565;142)
180        , 400120902.990979    , 16        ,                           User is moving a causal link., 6         , (565;137)
181        , 400120903.00656     , 16        ,                           User is moving a causal link., 6         , (564;132)
182        , 400120903.022553    , 16        ,                           User is moving a causal link., 6         , (564;127)
183        , 400120903.054172    , 16        ,                           User is moving a causal link., 6         , (564;123)
184        , 400120903.087126    , 16        ,                           User is moving a causal link., 6         , (563;118)
185        , 400120903.134846    , 16        ,                           User is moving a causal link., 6         , (563;113)
186        , 400120903.246146    , 17        ,                      User stopped moving a causal link., 6         , (563;113)
187        , 400120903.584024    , 15        ,                        User began moving a causal link., 6         , (563;113)
188        , 400120903.637475    , 58        ,                                  Update menu displayed., 6         , Causal link
189        , 400120904.198718    , 60        ,                                    Edit menu displayed., 6         , Causal link
190        , 400120904.431651    , 59        ,                                     Update menu closed., 6         , Causal link
191        , 400120905.120702    , 14        ,          User selected a new option for the link color., 6         , Red selected
192        , 400120905.921039    , 14        ,          User selected a new option for the link color., 6         , Green selected
193        , 400120907.424224    , 14        ,          User selected a new option for the link color., 6         , Blue selected
194        , 400120908.956718    , 7         ,                User changed the color of a causal link., 6         , From: Black To: Blue
195        , 400120908.956837    , 61        ,            Edit menu closed because user saved changes., 6         , Causal link
196        , 400120911.966876    , 79        ,                           User began moving a variable., 2         , (414;231)
197        , 400120912.217651    , 75        ,              User has begun creating a new causal link., 0         , (414;231)
198        , 400120912.555751    , 76        ,       The causal link is in the process of being added., 0         , (417;243)
199        , 400120912.556202    , 76        ,       The causal link is in the process of being added., 0         , (417;243)
200        , 400120912.57142     , 76        ,       The causal link is in the process of being added., 0         , (419;250)
